dirty_lines,clean_lines
"Huang, Y.-Y., Shi, Y., Lei, Y., Li, Y., Fan, J., Xu, Y.-J., Ma, X.-F., Zhao, J.-Q., Xiao, S., and Wang, W.-M.", (2010).
 (2014)., Role of small RNAs in host-microbe interactions.
 Functional identification of multiple nucleocytoplasmic trafficking signals in the broad-spectrum resistance protein RPW8.," Annu Rev Phytopathol 48, 225-246."
 2.,"Khraiwesh, B., Zhu, J.K., and Zhu, J."
" Planta 239, 455-468.", (2012).
"Jones-Rhoades, M.W., Bartel, D.P., and Bartel, B.", Role of miRNAs and siRNAs in biotic and abiotic stress responses of plants.
 (2006).," Biochimica et biophysica acta 1819, 137-148."
 MicroRNAs and their regulatory roles in plants.,"Khush, G.S."
" Annu Rev Plant Biol 57, 19-53.", (2005).
"Jones, J.D., and Dangl, J.L.", What it will take to feed 5.0 billion rice consumers in 2030.
 (2006).," Plant molecular biology 59, 1-6."
 The plant immune system.,"Lam, E. (2004)."
" Nature 444, 323-329."," Controlled cell death, plant survival and development."
"Katiyar-Agarwal, S., and Jin, H."," Nature reviews Molecular cell biology 5, 305-315."
 (2010).,"Li, Y., Lu, Y.G., Shi, Y., Wu, L., Xu, Y.J., Huang, F., Guo, X.Y., Zhang, Y., Fan, J., Zhao, J.Q., et al."
 Role of small RNAs in host-microbe interactions., (2014).
" Annu Rev Phytopathol 48, 225-246.", Multiple rice microRNAs are involved in immunity against the blast fungus Magnaporthe oryzae.
"Khraiwesh, B., Zhu, J.K., and Zhu, J."," Plant Physiol 164, 1077-1092."
 (2012).,"Li, Y., Zhang, Q., Zhang, J., Wu, L., Qi, Y., and Zhou, J.M."
 Role of miRNAs and siRNAs in biotic and abiotic stress responses of plants., (2010a).
" Biochimica et biophysica acta 1819, 137-148.", Identification of microRNAs involved in pathogen-associated molecular pattern-triggered plant innate immunity.
"Khush, G.S."," Plant Physiol 152, 2222-2231."
 (2005).,"Li, Y., Zhao, S.L., Li, J.L., Hu, X.H., Wang, H., Cao, X.L., Xu, Y.J., Zhao, Z.X., Xiao, Z.Y., Yang, N., et al."
 What it will take to feed 5.0 billion rice consumers in 2030., (2017).
" Plant molecular biology 59, 1-6.", Osa-miR169 Negatively Regulates Rice Immunity against the Blast Fungus Magnaporthe oryzae.
"Lam, E. (2004)."," Front Plant Sci 8, 2."
" Controlled cell death, plant survival and development.","Li, Y.F., Zheng, Y., Addo-Quaye, C., Zhang, L., Saini, A., Jagadeeswaran, G., Axtell, M.J., Zhang, W., and Sunkar, R."
" Nature reviews Molecular cell biology 5, 305-315.", (2010b).
"Li, Y., Lu, Y.G., Shi, Y., Wu, L., Xu, Y.J., Huang, F., Guo, X.Y., Zhang, Y., Fan, J., Zhao, J.Q., et al.", Transcriptome-wide identification of microRNA targets in rice.
 (2014).," The Plant journal : for cell and molecular biology 62, 742-759."
 Multiple rice microRNAs are involved in immunity against the blast fungus Magnaporthe oryzae.,"Liao, Y., Bai, Q., Xu, P., Wu, T., Guo, D., Peng, Y., Zhang, H., Deng, X., Chen, X., and Luo, M."
" Plant Physiol 164, 1077-1092.", (2018).
"Li, Y., Zhang, Q., Zhang, J., Wu, L., Qi, Y., and Zhou, J.M."," Mutation in Rice Abscisic Acid2 Results in Cell Death, Enhanced Disease-Resistance, Altered Seed Dormancy and Development."
 (2010a).," Frontiers in plant science 9, 405."
 Identification of microRNAs involved in pathogen-associated molecular pattern-triggered plant innate immunity.,"Liu, B., Li, J.-F., Ao, Y., Qu, J., Li, Z., Su, J., Zhang, Y., Liu, J., Feng, D., and Qi, K."
" Plant Physiol 152, 2222-2231.", (2012a).
"Li, Y., Zhao, S.L., Li, J.L., Hu, X.H., Wang, H., Cao, X.L., Xu, Y.J., Zhao, Z.X., Xiao, Z.Y., Yang, N., et al.", Lysin motif–containing proteins LYP4 and LYP6 play dual roles in peptidoglycan and chitin perception in rice innate immunity.
 (2017).," The Plant Cell 24, 3406-3419."
 Osa-miR169 Negatively Regulates Rice Immunity against the Blast Fungus Magnaporthe oryzae.,"Liu, H., Jia, S., Shen, D., Liu, J., Li, J., Zhao, H., Han, S., and Wang, Y."
" Front Plant Sci 8, 2.", (2012b).
"Li, Y.F., Zheng, Y., Addo-Quaye, C., Zhang, L., Saini, A., Jagadeeswaran, G., Axtell, M.J., Zhang, W., and Sunkar, R.", Four AUXIN RESPONSE FACTOR genes downregulated by microRNA167 are associated with growth and development in Oryza sativa.
 (2010b).," Functional Plant Biology 39, 736-744."
 Transcriptome-wide identification of microRNA targets in rice.,"Liu, Q., and Paroo, Z."
" The Plant journal : for cell and molecular biology 62, 742-759.", (2010).
"Liao, Y., Bai, Q., Xu, P., Wu, T., Guo, D., Peng, Y., Zhang, H., Deng, X., Chen, X., and Luo, M.", Biochemical principles of small RNA pathways.
 (2018).," Annu Rev Biochem 79, 295-319."
" Mutation in Rice Abscisic Acid2 Results in Cell Death, Enhanced Disease-Resistance, Altered Seed Dormancy and Development.","Liu, W., Liu, J., Ning, Y., Ding, B., Wang, X., Wang, Z., and Wang, G.-L."
" Frontiers in plant science 9, 405.", (2013).
"Liu, B., Li, J.-F., Ao, Y., Qu, J., Li, Z., Su, J., Zhang, Y., Liu, J., Feng, D., and Qi, K.", Recent progress in understanding PAMP-and effector-triggered immunity against the rice blast fungus Magnaporthe oryzae.
 (2012a).," Molecular plant 6, 605-620."
 Lysin motif–containing proteins LYP4 and LYP6 play dual roles in peptidoglycan and chitin perception in rice innate immunity.,"Liu, W., Liu, J., Triplett, L., Leach, J.E., and Wang, G.-L."
" The Plant Cell 24, 3406-3419.", (2014).
"Liu, H., Jia, S., Shen, D., Liu, J., Li, J., Zhao, H., Han, S., and Wang, Y.", Novel insights into rice innate immunity against bacterial and fungal pathogens.
 (2012b).," Annual review of phytopathology 52, 213-241."
 Four AUXIN RESPONSE FACTOR genes downregulated by microRNA167 are associated with growth and development in Oryza sativa.,"Liu, W., and Wang, G.-L."
" Functional Plant Biology 39, 736-744.", (2016).
"Liu, Q., and Paroo, Z.", Plant innate immunity in rice: a defense against pathogen infection.
 (2010).," National Science Review 3, 295-308."
 Biochemical principles of small RNA pathways.,"Nagpal, P., Ellis, C.M., Weber, H., Ploense, S.E., Barkawi, L.S., Guilfoyle, T.J., Hagen, G., Alonso, J.M., Cohen, J.D., Farmer, E.E., et al."
" Annu Rev Biochem 79, 295-319.", (2005).
"Liu, W., Liu, J., Ning, Y., Ding, B., Wang, X., Wang, Z., and Wang, G.-L.", Auxin response factors ARF6 and ARF8 promote jasmonic acid production and flower maturation.
 (2013).," Development 132, 4107-4118."
 Recent progress in understanding PAMP-and effector-triggered immunity against the rice blast fungus Magnaporthe oryzae.,"Navarro, L., Dunoyer, P., Jay, F., Arnold, B., Dharmasiri, N., Estelle, M., Voinnet, O., and Jones, J.D."
" Molecular plant 6, 605-620.", (2006).
"Liu, W., Liu, J., Triplett, L., Leach, J.E., and Wang, G.-L.", A plant miRNA contributes to antibacterial resistance by repressing auxin signaling.
 (2014).," Science 312, 436-439."
 Novel insights into rice innate immunity against bacterial and fungal pathogens.,"Niu, D., Lii, Y.E., Chellappan, P., Lei, L., Peralta, K., Jiang, C., Guo, J., Coaker, G., and Jin, H."
" Annual review of phytopathology 52, 213-241.", (2016).
"Liu, W., and Wang, G.-L.", miRNA863-3p sequentially targets negative immune regulator ARLPKs and positive regulator SERRATE upon bacterial infection.
 (2016).," Nature communications 7, 11324."
 Plant innate immunity in rice: a defense against pathogen infection.,"Park, C.-H., Chen, S., Shirsekar, G., Zhou, B., Khang, C.H., Songkumarn, P., Afzal, A.J., Ning, Y., Wang, R., and Bellizzi, M."
" National Science Review 3, 295-308.", (2012).
"Nagpal, P., Ellis, C.M., Weber, H., Ploense, S.E., Barkawi, L.S., Guilfoyle, T.J., Hagen, G., Alonso, J.M., Cohen, J.D., Farmer, E.E., et al.", The Magnaporthe oryzae effector AvrPiz-t targets the RING E3 Ubiquitin Ligase APIP6 to suppress pathogen-associated molecular pattern–triggered immunity in rice.
 (2005).," The Plant Cell 24, 4748-4762."
 Auxin response factors ARF6 and ARF8 promote jasmonic acid production and flower maturation.,"Rogers, K., and Chen, X."
" Development 132, 4107-4118.", (2013).
"Navarro, L., Dunoyer, P., Jay, F., Arnold, B., Dharmasiri, N., Estelle, M., Voinnet, O., and Jones, J.D."," Biogenesis, turnover, and mode of action of plant microRNAs."
 (2006).," Plant Cell 25, 2383-2399."
 A plant miRNA contributes to antibacterial resistance by repressing auxin signaling.,"Salvador-Guirao, R., Hsing, Y.I., and San Segundo, B."
" Science 312, 436-439.", (2018).
"Niu, D., Lii, Y.E., Chellappan, P., Lei, L., Peralta, K., Jiang, C., Guo, J., Coaker, G., and Jin, H.", The Polycistronic miR166k-166h Positively Regulates Rice Immunity via Post-transcriptional Control of EIN2.
 (2016).," Front Plant Sci 9, 337."
 miRNA863-3p sequentially targets negative immune regulator ARLPKs and positive regulator SERRATE upon bacterial infection.,"Shimizu, T., Nakano, T., Takamizawa, D., Desaki, Y., Ishii-Minami, N., Nishizawa, Y., Minami, E., Okada, K., Yamane, H., Kaku, H., et al."
" Nature communications 7, 11324.", (2010).
"Park, C.-H., Chen, S., Shirsekar, G., Zhou, B., Khang, C.H., Songkumarn, P., Afzal, A.J., Ning, Y., Wang, R., and Bellizzi, M."," Two LysM receptor molecules, CEBiP and OsCERK1, cooperatively regulate chitin elicitor signaling in rice."
 (2012).," The Plant journal : for cell and molecular biology 64, 204-214."
 The Magnaporthe oryzae effector AvrPiz-t targets the RING E3 Ubiquitin Ligase APIP6 to suppress pathogen-associated molecular pattern–triggered immunity in rice.,"Shirsekar, G.S., Vega-Sanchez, M.E., Bordeos, A., Baraoidan, M., Swisshelm, A., Fan, J., Park, C.H., Leung, H., and Wang, G.L."
" The Plant Cell 24, 4748-4762.", (2014).
"Rogers, K., and Chen, X.", Identification and characterization of suppressor mutants of spl11- mediated cell death in rice.
 (2013).," Molecular plant-microbe interactions : MPMI 27, 528-536."
" Biogenesis, turnover, and mode of action of plant microRNAs.","Shivaprasad, P.V., Chen, H.-M., Patel, K., Bond, D.M., Santos, B.A., and Baulcombe, D.C."
" Plant Cell 25, 2383-2399.", (2012).
"Salvador-Guirao, R., Hsing, Y.I., and San Segundo, B.", A microRNA superfamily regulates nucleotide binding site–leucine-rich repeats and other mRNAs.
 (2018).," The Plant Cell 24, 859-874."
 The Polycistronic miR166k-166h Positively Regulates Rice Immunity via Post-transcriptional Control of EIN2.,"Su, Y.H., Liu, Y.B., Zhou, C., Li, X.M., and Zhang, X.S."
" Front Plant Sci 9, 337.", (2016).
"Shimizu, T., Nakano, T., Takamizawa, D., Desaki, Y., Ishii-Minami, N., Nishizawa, Y., Minami, E., Okada, K., Yamane, H., Kaku, H., et al.", The microRNA167 controls somatic embryogenesis in Arabidopsis through regulating its target genes ARF6 and ARF8.
 (2010).," Plant Cell, Tissue and Organ Culture (PCTOC) 124, 405-417."
" Two LysM receptor molecules, CEBiP and OsCERK1, cooperatively regulate chitin elicitor signaling in rice.","Tabata, R., Ikezaki, M., Fujibe, T., Aida, M., Tian, C.E., Ueno, Y., Yamamoto, K.T., Machida, Y., Nakamura, K., and Ishiguro, S."
" The Plant journal : for cell and molecular biology 64, 204-214.", (2010).
"Shirsekar, G.S., Vega-Sanchez, M.E., Bordeos, A., Baraoidan, M., Swisshelm, A., Fan, J., Park, C.H., Leung, H., and Wang, G.L.", Arabidopsis auxin response factor6 and 8 regulate jasmonic acid biosynthesis and floral organ development via repression of class 1 KNOX genes.
 (2014).," Plant & cell physiology 51, 164-175."
 Identification and characterization of suppressor mutants of spl11- mediated cell death in rice.,"Teng, N., Wang, J., Chen, T., Wu, X., Wang, Y., and Lin, J."
" Molecular plant-microbe interactions : MPMI 27, 528-536.", (2006).
"Shivaprasad, P.V., Chen, H.-M., Patel, K., Bond, D.M., Santos, B.A., and Baulcombe, D.C."," Elevated CO2 induces physiological, biochemical and structural changes in leaves of Arabidopsis thaliana."
 (2012).," New Phytologist 172, 92-103."
 A microRNA superfamily regulates nucleotide binding site–leucine-rich repeats and other mRNAs.,"Tsunematsu, H., Yanoria, M.J.T., Ebron, L.A., Hayashi, N., Ando, I., Kato, H., Imbe, T., and Khush, G.S."
" The Plant Cell 24, 859-874.", (2000).
"Su, Y.H., Liu, Y.B., Zhou, C., Li, X.M., and Zhang, X.S.", Development of monogenic lines of rice for blast resistance.
 (2016).," Breeding Science 50, 229-234."
 The microRNA167 controls somatic embryogenesis in Arabidopsis through regulating its target genes ARF6 and ARF8.,"Wu, L., Zhang, Q., Zhou, H., Ni, F., Wu, X., and Qi, Y."
" Plant Cell, Tissue and Organ Culture (PCTOC) 124, 405-417.", (2009).
"Tabata, R., Ikezaki, M., Fujibe, T., Aida, M., Tian, C.E., Ueno, Y., Yamamoto, K.T., Machida, Y., Nakamura, K., and Ishiguro, S.", Rice MicroRNA effector complexes and targets.
 (2010).," Plant Cell 21, 3421-3435."
 Arabidopsis auxin response factor6 and 8 regulate jasmonic acid biosynthesis and floral organ development via repression of class 1 KNOX genes.,"Wu, M.-F., Tian, Q., and Reed, J.W."
" Plant & cell physiology 51, 164-175.", (2006).
"Teng, N., Wang, J., Chen, T., Wu, X., Wang, Y., and Lin, J."," Arabidopsis microRNA167 controls patterns of ARF6 and ARF8 expression, and regulates both female and male reproduction."
 (2006).," Development 133, 4211-4218."
" Elevated CO2 induces physiological, biochemical and structural changes in leaves of Arabidopsis thaliana.","Xia, K., Wang, R., Ou, X., Fang, Z., Tian, C., Duan, J., Wang, Y., and Zhang, M."
" New Phytologist 172, 92-103.", (2012).
"Tsunematsu, H., Yanoria, M.J.T., Ebron, L.A., Hayashi, N., Ando, I., Kato, H., Imbe, T., and Khush, G.S."," OsTIR1 and OsAFB2 downregulation via OsmiR393 overexpression leads to more tillers, early flowering and less tolerance to salt and drought in rice."
 (2000).," PLoS One 7, e30039."
 Development of monogenic lines of rice for blast resistance.,"Xie, Z., Johansen, L.K., Gustafson, A.M., Kasschau, K.D., Lellis, A.D., Zilberman, D., Jacobsen, S.E., and Carrington, J.C."
" Breeding Science 50, 229-234.", (2004).
"Wu, L., Zhang, Q., Zhou, H., Ni, F., Wu, X., and Qi, Y.", Genetic and functional diversification of small RNA pathways in plants.
 (2009).," PLoS Biol 2, E104."
 Rice MicroRNA effector complexes and targets.,"Yi, H., and Richards, E.J."
" Plant Cell 21, 3421-3435.", (2007).
"Wu, M.-F., Tian, Q., and Reed, J.W.", A cluster of disease resistance genes in Arabidopsis is coordinately regulated by transcriptional activation and RNA silencing.
 (2006).," The Plant Cell 19, 2929-2939."
" Arabidopsis microRNA167 controls patterns of ARF6 and ARF8 expression, and regulates both female and male reproduction.","Yin, Z., Chen, J., Zeng, L., Goh, M., Leung, H., Khush, G.S., and Wang, G.L."
" Development 133, 4211-4218.", (2000).
"Xia, K., Wang, R., Ou, X., Fang, Z., Tian, C., Duan, J., Wang, Y., and Zhang, M.", Characterizing rice lesion mimic mutants and identifying a mutant with broad-spectrum resistance to rice blast and bacterial blight.
 (2012).," Molecular plant-microbe interactions : MPMI 13, 869-876."
" OsTIR1 and OsAFB2 downregulation via OsmiR393 overexpression leads to more tillers, early flowering and less tolerance to salt and drought in rice.","Zhi-Xue, Z., Sheng-Li, Z., Jun, S., Fu, H., Yan, L., Jing, F., and Wen-Ming, W."
" PLoS One 7, e30039.", (2017).
"Xie, Z., Johansen, L.K., Gustafson, A.M., Kasschau, K.D., Lellis, A.D., Zilberman, D., Jacobsen, S.E., and Carrington, J.C.", DIFFERENT RICE BLAST RESISTANCE GENES CONTRIBUTING TO THE BROAD-SPECTRUM RESISTANCE IN ELITE MALE STERILE AND RESTORER LINES FOR HYBRID RICE BREEDING.
 (2004).," Journal of Plant Pathology 99, 121-129."
 Genetic and functional diversification of small RNA pathways in plants.,"Zhu, Q.H., Fan, L., Liu, Y., Xu, H., Llewellyn, D., and Wilson, I."
" PLoS Biol 2, E104.", (2013).
"Yi, H., and Richards, E.J.", miR482 regulation of NBS-LRR defense genes during fungal pathogen infection in cotton.
 (2007).," PLoS One 8, e84390."
 A cluster of disease resistance genes in Arabidopsis is coordinately regulated by transcriptional activation and RNA silencing.,Figure 1. The different expression level of MiR167d in susceptible and resistant plants upon <SPECIES> infected.
" The Plant Cell 19, 2929-2939.",(A) The leaves from susceptible line LTH and resistant line IRBLKm-Ts revealed the different blast disease phenotype.
"Yin, Z., Chen, J., Zeng, L., Goh, M., Leung, H., Khush, G.S., and Wang, G.L.", The seedlings with three leaves were sprayed with Guy11 spore suspensions and recorded the disease phenotype at 5 dpi.
 (2000)., (B) The expression level of miR167d in the indicated materials after <SPECIES> infection.
 Characterizing rice lesion mimic mutants and identifying a mutant with broad-spectrum resistance to rice blast and bacterial blight.," Total RNA were extracted from the samples at the 0, 12, 24, 48 hpi for qRT-PCR assay."
" Molecular plant-microbe interactions : MPMI 13, 869-876.", The accumulation level of miR167d was normal to untreated plant at 0 hpi.
"Zhi-Xue, Z., Sheng-Li, Z., Jun, S., Fu, H., Yan, L., Jing, F., and Wen-Ming, W.", SnRNA U6 used as a reference gene.
 (2017)., Error bars indicate SD (n=3).
 DIFFERENT RICE BLAST RESISTANCE GENES CONTRIBUTING TO THE BROAD-SPECTRUM RESISTANCE IN ELITE MALE STERILE AND RESTORER LINES FOR HYBRID RICE BREEDING.," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
" Journal of Plant Pathology 99, 121-129.", The experiments were repeated more than two times with similar results.
"Zhu, Q.H., Fan, L., Liu, Y., Xu, H., Llewellyn, D., and Wilson, I.",Figure 2. Overexpressing miR167d leaded to more susceptibility to <SPECIES>.
 (2013).,Using the spray (A) and punched (D) methods to examine the resistance in overexpression miR167d lines caused by <SPECIES> strain NC-34 respectively.
 miR482 regulation of NBS-LRR defense genes during fungal pathogen infection in cotton., All the diseased leaves were analyzed at 5 dpi.
" PLoS One 8, e84390."," And the fungal biomass was measured by qRT-PCR (B, E)."
Figure 1., (C) The accumulation of miR167d in different transgenic lines and normalized to control plants.
 The different expression level of MiR167d in susceptible and resistant plants upon <SPECIES> infected., SnRNA U6 used as the reference gene.
(A) The leaves from susceptible line LTH and resistant line IRBLKm-Ts revealed the different blast disease phenotype., Error bars indicate SD (n=3).
 The seedlings with three leaves were sprayed with Guy11 spore suspensions and recorded the disease phenotype at 5 dpi.," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
 (B) The expression level of miR167d in the indicated materials after <SPECIES> infection., The experiments were repeated more than two times with similar results.
" Total RNA were extracted from the samples at the 0, 12, 24, 48 hpi for qRT-PCR assay.",Figure 3. Overexpressing miR167d leads to compromise defense response.
 The accumulation level of miR167d was normal to untreated plant at 0 hpi.,"The Defense related genes expression pattern were examined by qRT-PCR, all the detected genes were examined by qRT-PCR in miR167d overexpressing lines."
 SnRNA U6 used as a reference gene., Error bars indicate SD (n=3).
 Error bars indicate SD (n=3).," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).",Figure 4. Overexpression miR167d result in increased <SPECIES> fungal growth.
 The experiments were repeated more than two times with similar results.,"(A) The infection status of a GFP-tagged <SPECIES> strain was examined by Confocal microscope in overexpression miR167d transgenic lines, and the result was showed in the indicated lines at the different time points."
Figure 2., (B) Quantification analysis of <SPECIES> infected process in the indicated lines at the different time points.
 Overexpressing miR167d leaded to more susceptibility to <SPECIES>.," Scale bars, 100 ?m."
Using the spray (A) and punched (D) methods to examine the resistance in overexpression miR167d lines caused by <SPECIES> strain NC-34 respectively.,Figure 5. The target genes of miR167d were repressed at the transcriptional or translational level.
 All the diseased leaves were analyzed at 5 dpi.,"(A) Total RNA was extracted from miR167d overexpression lines, and relative expression level of its target genes were examined by qRT-PCR, all the expression level was normalized to control plants."
" And the fungal biomass was measured by qRT-PCR (B, E).", Error bars indicate SD (n=3).
 (C) The accumulation of miR167d in different transgenic lines and normalized to control plants.," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
 SnRNA U6 used as the reference gene.," Western blot assay (B) and microscope images(C, D) reveal that miR167d suppressed the protein accumulation of Os4g57610 and didn’t affected mutant control protein level."
 Error bars indicate SD (n=3).," The target sequence of Os4g57610 combine with eYFP act as a reporter constructs and the mutant on the target sequence of Os4g57610 act as a control, all of them were transiently expressed respectively or coexpressed with miR167d overexpression construct (C) or/and the miR167d target mimicry MIM167d construct (D) in <SPECIES>leaves by Agrobacterium-mediated transient expression at the specified optical density concentration."
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).", 100 mg fresh leaves that injected Agrobacterium were collected and performed Western blot assay using anti-GFP.
 The experiments were repeated more than two times with similar results., Rubisco was stained by ponceau and indicated the equal loading.
Figure 3., The alignments of miR167d and Os4g57610 target sequence (C) and MIM167d with miR167d (D) were following the images respectively.
 Overexpressing miR167d leads to compromise defense response.," Size bars = 100?m, TS= target sequence, MTS=mutant target sequence."
"The Defense related genes expression pattern were examined by qRT-PCR, all the detected genes were examined by qRT-PCR in miR167d overexpressing lines.","Figure 6. Overexpression of miR167d target mimicry leaded to its target genes expression higher, but lower of miR167d level."
 Error bars indicate SD (n=3).,"Total RNA was extracted from positive transgenic plants, and qRT-PCR assay was used to detect the expression level of miR167d (A) and the expression level of its target genes (B)."
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).", All the mRNA level was normalized to control plants.
Figure 4., Error bars indicate SD (n=3).
 Overexpression miR167d result in increased <SPECIES> fungal growth.," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
"(A) The infection status of a GFP-tagged <SPECIES> strain was examined by Confocal microscope in overexpression miR167d transgenic lines, and the result was showed in the indicated lines at the different time points.", The experiments were repeated more than two times with similar results.
 (B) Quantification analysis of <SPECIES> infected process in the indicated lines at the different time points.,Using the spray (A) and punched (C) methods to examine the resistance in overexpression MIM167d lines caused by <SPECIES> strain NC-34 respectively.
" Scale bars, 100 ?m.", All the diseased leaves were analyzed at 5 dpi.
Figure 5.," And the fungal biomass was measured by qRT-PCR (B, D)."
 The target genes of miR167d were repressed at the transcriptional or translational level., SnRNA U6 used as the reference gene.
"(A) Total RNA was extracted from miR167d overexpression lines, and relative expression level of its target genes were examined by qRT-PCR, all the expression level was normalized to control plants.", Error bars indicate SD.
 Error bars indicate SD (n=3).," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the letters upon the error bars indicate signi?cant differences (P, 0.01)."
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).", The experiments were repeated more than two times with similar results.
" Western blot assay (B) and microscope images(C, D) reveal that miR167d suppressed the protein accumulation of Os4g57610 and didn’t affected mutant control protein level.","The Defense related genes expression pattern were examined by qRT-PCR, all the detected genes were examined by qRT-PCR in MIM167d overexpressing lines."
" The target sequence of Os4g57610 combine with eYFP act as a reporter constructs and the mutant on the target sequence of Os4g57610 act as a control, all of them were transiently expressed respectively or coexpressed with miR167d overexpression construct (C) or/and the miR167d target mimicry MIM167d construct (D) in <SPECIES> leaves by Agrobacterium-mediated transient expression at the specified optical density concentration.", Error bars indicate SD (n=3).
 100 mg fresh leaves that injected Agrobacterium were collected and performed Western blot assay using anti-GFP.," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
 Rubisco was stained by ponceau and indicated the equal loading.,Figure 9. Expressing of the miR167d target mimicry result in increased <SPECIES> fungal growth.
 The alignments of miR167d and Os4g57610 target sequence (C) and MIM167d with miR167d (D) were following the images respectively.,"(A) The infection status of a GFP-tagged <SPECIES> strain was examined by Confocal microscope in overexpression MIM167d transgenic lines, and the result was showed in the indicated lines at the different time points."
" Size bars = 100?m, TS= target sequence, MTS=mutant target sequence.", (B) Quantification analysis of <SPECIES> infected process in the indicated lines at the different time points.
Figure 6.," Scale bars, 100 ?m."
" Overexpression of miR167d target mimicry leaded to its target genes expression higher, but lower of miR167d level.",The target genes of miR167d expression pattern were examined by qRT-PCR after infected <SPECIES> in in susceptible line LTH and a resistant monogenic line IRBLkm-Ts.
"Total RNA was extracted from positive transgenic plants, and qRT-PCR assay was used to detect the expression level of miR167d (A) and the expression level of its target genes (B).", Error bars indicate SD (n=3).
 All the mRNA level was normalized to control plants.," One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01)."
 Error bars indicate SD (n=3).,I'm not sure what this means.
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).",Unclear what you mean here.
 The experiments were repeated more than two times with similar results.,The words virulence and pathogencity are very specific terms.
Figure 7., They both have important meaning.
Using the spray (A) and punched (C) methods to examine the resistance in overexpression MIM167d lines caused by <SPECIES> strain NC-34 respectively.,n/a
 All the diseased leaves were analyzed at 5 dpi.,n/a
" And the fungal biomass was measured by qRT-PCR (B, D).",n/a
 SnRNA U6 used as the reference gene.,n/a
 Error bars indicate SD.,n/a
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the letters upon the error bars indicate signi?cant differences (P, 0.01).",n/a
 The experiments were repeated more than two times with similar results.,n/a
Figure 8.,n/a
"The Defense related genes expression pattern were examined by qRT-PCR, all the detected genes were examined by qRT-PCR in MIM167d overexpressing lines.",n/a
 Error bars indicate SD (n=3).,n/a
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).",n/a
Figure 9.,n/a
 Expressing of the miR167d target mimicry result in increased <SPECIES> fungal growth.,n/a
"(A) The infection status of a GFP-tagged <SPECIES> strain was examined by Confocal microscope in overexpression MIM167d transgenic lines, and the result was showed in the indicated lines at the different time points.",n/a
 (B) Quantification analysis of <SPECIES> infected process in the indicated lines at the different time points.,n/a
" Scale bars, 100 ?m.",n/a
Figure 10.,n/a
The target genes of miR167d expression pattern were examined by qRT-PCR after infected <SPECIES> in in susceptible line LTH and a resistant monogenic line IRBLkm-Ts.,n/a
 Error bars indicate SD (n=3).,n/a
" One-way ANOVA analysis was performed to determine the signi?cance of differences between each time course and the asterisks upon the error bars indicate signi?cant differences (P, 0.01).",n/a
